gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b0722,4567613.527838108,5151530.136064907,4001182.1668600277,1441743.428908242,155473.8491426725,958963.0513301531
b2240,2689564.309723289,3689554.6260088403,2752343.2194257393,1122981.694201026,3762046.9018034907,3577124.847047908
b1094,2267047.4359010616,2475048.4981417675,3086774.767306151,3754165.376950722,3762528.5337115442,2829529.7725247326
b1237,2016324.0398094566,2097957.8098132806,2924417.069622887,3877539.7554643247,3377502.7787445993,3755653.3521728246
b3544,5106290.23274952,3557565.4424056835,1872665.1462869921,1418359.0157425373,949878.4626627084,2863921.7674264316
b1717,1290625.5007655066,1827960.9725305247,2145280.981374821,6193977.432902434,4454539.147955657,2635013.6717309183
b0721,4042476.964332448,4422520.665933756,4391238.57182709,1507931.8371073648,228082.22022249104,895302.1760582249
b0733,2484105.1025464507,2628510.2965871207,2263323.1821025014,2120992.8977497253,2876164.0984530523,4257826.743858269
b1333,3308635.408655007,3536572.467468816,3558684.5347126797,1417750.8487297446,2032892.733791374,1912214.4291213914
b3307,816632.9333623658,1505059.486149855,2031447.411258267,7226496.241569695,4330416.230710263,2101429.256981482
b1800,4911740.274007116,4077472.1285221707,3364883.2692140597,63768.79094221825,572002.8166837073,785122.8693978738
b3309,710117.362918554,1417545.4181360193,1985197.0397839127,6557981.051011944,4187475.435410253,2252047.3395533524
b2091,1699012.3749303108,1636129.8193596615,1674675.675915928,2994273.745260591,4539515.307027334,3490076.4396134787
b3403,2120369.8721889076,2543903.4712178446,2170350.790278776,2621293.7908549695,3333624.6953564733,2580024.2325020107
b0008,2189328.5262583657,2427502.584537871,2190728.249941912,2609309.24648056,2930648.7080516256,2777690.9798023445
b0727,2013368.4901081086,1701721.9546889525,954980.3441173474,5524570.873096319,1174218.5918348804,4424189.575229299
b3985,556063.4418390073,1052577.1230469989,1392633.3624264307,8617401.606494408,3706786.7231765077,1810484.9209679237
b4143,476272.98756709765,959100.634830715,604839.5463052673,8525871.165989691,2778370.39218126,3563641.0132106813
b1716,1195976.7205333798,1373349.6330662768,1795758.5263792002,5158348.619961599,3778571.125943038,2207397.450455232
b0812,2604932.167494354,1598285.1282087544,1554988.2747816925,2245165.9848724036,2379181.3538005208,3730771.6224580896
