gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b4161,7.1274987509850405,7.406223623718165,0.2787248727331244,0.02598036206759623,0.10562948389598165,False
b1091,6.978515440256731,7.4894132432750595,0.5108978030183282,0.08496954084475222,0.1953514277833995,False
b3002,7.7400029855199195,6.492761895630163,-1.2472410898897568,0.013346445414966632,0.08102426729922506,False
b0009,7.507919479133956,6.957893837150688,-0.5500256419832681,0.02875257218502447,0.10972920405305257,False
b2662,6.540210691205804,7.400124932969569,0.8599142417637653,0.386642173009498,0.5296856143060522,False
b3997,7.29377864178229,7.21830741424369,-0.0754712275385998,0.6159817320280176,0.7199065617828772,False
b0578,6.848225765685352,7.538850136880588,0.690624371195236,0.05500235379343351,0.1556434828656555,False
b1637,7.018002405407743,7.4604740485246515,0.44247164311690845,0.02758066214967898,0.1083430221051144,False
b1852,6.854244168632195,7.560664948805418,0.7064207801732234,0.012930256946108328,0.08023135905133584,False
b3697,7.4244418976997055,7.066829624847834,-0.35761227285187136,0.04606520303227793,0.14126972656786818,False
b1953,7.4334432337942085,6.822450685491013,-0.6109925483031953,0.27349037298370416,0.4174884921905324,False
b0610,7.182031763530477,7.323371583255536,0.14133981972505882,0.20354463375096313,0.3412433008122236,False
b4380,7.080628573670339,7.163412215071791,0.082783641401452,0.8950065213352983,0.9311055326269864,False
